quasi_iter,n_func_evals,nonlinear_residual,update_norm,linear_residual,pde_loss,ic_loss,bc_loss,total_loss,wall_time
0,0,13.894608881973722,0.0,0.0,0.0,0.3894608881973722,1.0,13.894608881973722,0.003769397735595703
1,1,6.929615534623599,1.0,0.0,6.921962306153069,0.0007647649751066702,5.578719463499742e-07,6.929615534623599,0.23664641380310059
2,2,12.547486127105559,0.8569361674376296,0.0,12.521656593119403,0.0025772604890899283,5.692909525581156e-06,12.547486127105559,0.47275638580322266
3,3,0.9034828888421639,1.4931021929386792,0.0,0.8848124420812259,0.0018533518902940753,1.3692785799727392e-05,0.9034828888421639,0.7133636474609375
4,4,0.14534372002519147,2.198506854153399,0.0,0.12633851342125427,0.00189525350584611,5.267154547611763e-06,0.14534372002519147,0.9505410194396973
5,5,0.12868400107011604,0.3560285244559691,0.0,0.11120625921348012,0.0017442797027531027,3.494482910490401e-06,0.12868400107011604,1.1845457553863525
6,6,0.11807877223694176,1.418073266093625,0.0,0.09626907488579844,0.00217465459218422,6.315142930112651e-06,0.11807877223694176,1.4261610507965088
7,7,0.10320615819147833,5.282747829822863,0.0,0.07717719842295359,0.0025996087964729525,3.2871803795213705e-06,0.10320615819147833,1.6718721389770508
8,8,0.08486435539766625,0.7340433783842221,0.0,0.049332212855935455,0.003550985000949399,2.2292532236798606e-06,0.08486435539766625,1.9098682403564453
9,9,0.07512369423834347,4.072645036361756,0.0,0.0316927062883257,0.0043411311630965795,1.967631905197638e-06,0.07512369423834347,2.1559481620788574
10,10,0.07303989812904355,1.1935571347172627,0.0,0.026243412572561114,0.0046768962153936255,2.7523402546184327e-06,0.07303989812904355,2.3972766399383545
